,Pheno.MimNumber,value,Tissue,Disease,Gene Symbols,Gene.MimNumber,Cyto Location,Gtex_Tissue
66,105210,18.77,kidney,"AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED","TTR, PALB",176300,18q12.1,Kidney
67,105210,8.2,Liver,"AMYLOIDOSIS, HEREDITARY, TRANSTHYRETIN-RELATED","TTR, PALB",176300,18q12.1,Liver
68,105400,9.2,Skeletal Muscle,AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1,"NEFH, CMT2CC",162230,22q12.2,Muscle
69,105400,9.2,Skeletal Muscle,AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1,"SOD1, ALS1",147450,21q22.11,Muscle
70,105400,9.2,Skeletal Muscle,AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1,"DCTN1, HMN7B",601143,2p13.1,Muscle
71,105400,9.2,Skeletal Muscle,AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1,PRPH,170710,12q13.12,Muscle
72,105400,44.13,spinal cord,AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1,"NEFH, CMT2CC",162230,22q12.2,Brain
73,105400,44.13,spinal cord,AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1,"SOD1, ALS1",147450,21q22.11,Brain
74,105400,44.13,spinal cord,AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1,"DCTN1, HMN7B",601143,2p13.1,Brain
75,105400,44.13,spinal cord,AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1,PRPH,170710,12q13.12,Brain
76,105830,20.75,TONGUE,ANGELMAN SYNDROME; AS,"UBE3A, ANCR",601623,15q11.2,
77,105830,10.14,Olfactory Bulb,ANGELMAN SYNDROME; AS,"UBE3A, ANCR",601623,15q11.2,Brain
78,105830,16.52,cerebellum,ANGELMAN SYNDROME; AS,"UBE3A, ANCR",601623,15q11.2,Brain
79,106100,15.46,TONGUE,"ANGIOEDEMA, HEREDITARY, TYPE I; HAE1","C1NH, HAE1, HAE2, SERPING1",606860,11q12.1,
80,106100,22.8,skin,"ANGIOEDEMA, HEREDITARY, TYPE I; HAE1","C1NH, HAE1, HAE2, SERPING1",606860,11q12.1,Skin
81,106210,44.03,kidney,ANIRIDIA 1; AN1,"PAX6, AN2, MGDA, FVH1, ASGD5",607108,11p13,Kidney
82,106260,8.56,kidney,ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE,"TP63, TP73L, KET, EEC3, SHFM4, LMS, RHS, OFC8",603273,3q28,Kidney
83,106260,10.93,Prostate,ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE,"TP63, TP73L, KET, EEC3, SHFM4, LMS, RHS, OFC8",603273,3q28,Prostate
84,106260,17.56,TONGUE,ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE,"TP63, TP73L, KET, EEC3, SHFM4, LMS, RHS, OFC8",603273,3q28,
85,106260,55.01,skin,ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE,"TP63, TP73L, KET, EEC3, SHFM4, LMS, RHS, OFC8",603273,3q28,Skin
86,106600,12.65,TONGUE,"TOOTH AGENESIS, SELECTIVE, 1; STHAG1","MSX1, HOX7, HYD1, OFC5, STHAG1, ECTD3",142983,4p16.2,
87,106600,15.89,Cerebellum Peduncles,"TOOTH AGENESIS, SELECTIVE, 1; STHAG1","MSX1, HOX7, HYD1, OFC5, STHAG1, ECTD3",142983,4p16.2,Brain
88,106600,16.51,skin,"TOOTH AGENESIS, SELECTIVE, 1; STHAG1","MSX1, HOX7, HYD1, OFC5, STHAG1, ECTD3",142983,4p16.2,Skin
89,107480,8.76,kidney,TOWNES-BROCKS SYNDROME 1; TBS1,"SALL1, HSAL1, TBS",602218,16q12.1,Kidney
90,107480,9.55,Pons,TOWNES-BROCKS SYNDROME 1; TBS1,"SALL1, HSAL1, TBS",602218,16q12.1,Brain
91,107480,9.96,Temporal Lobe,TOWNES-BROCKS SYNDROME 1; TBS1,"SALL1, HSAL1, TBS",602218,16q12.1,Brain
92,107480,11.13,cerebellum,TOWNES-BROCKS SYNDROME 1; TBS1,"SALL1, HSAL1, TBS",602218,16q12.1,Brain
93,108120,22.95,spinal cord,"ARTHROGRYPOSIS, DISTAL, TYPE 1A; DA1A","TPM2, TMSB, AMCD1, DA1, DA2B, NEM4",190990,9p13.3,Brain
94,108120,11.36,TONGUE,"ARTHROGRYPOSIS, DISTAL, TYPE 1A; DA1A","TPM2, TMSB, AMCD1, DA1, DA2B, NEM4",190990,9p13.3,
95,108120,8.29,cerebellum,"ARTHROGRYPOSIS, DISTAL, TYPE 1A; DA1A","TPM2, TMSB, AMCD1, DA1, DA2B, NEM4",190990,9p13.3,Brain
96,108120,19.5,Skeletal Muscle,"ARTHROGRYPOSIS, DISTAL, TYPE 1A; DA1A","TPM2, TMSB, AMCD1, DA1, DA2B, NEM4",190990,9p13.3,Muscle
97,108120,9.28,Uterus,"ARTHROGRYPOSIS, DISTAL, TYPE 1A; DA1A","TPM2, TMSB, AMCD1, DA1, DA2B, NEM4",190990,9p13.3,Uterus
98,108500,12.75,Cerebellum Peduncles,"EPISODIC ATAXIA, TYPE 2; EA2","CACNA1A, CACNL1A4, SCA6, EIEE42",601011,19p13.13,Brain
99,108500,43.22,cerebellum,"EPISODIC ATAXIA, TYPE 2; EA2","CACNA1A, CACNL1A4, SCA6, EIEE42",601011,19p13.13,Brain
100,108900,77.42,atrioventricular node,ATRIAL SEPTAL DEFECT 7 WITH OR WITHOUT ATRIOVENTRICULAR CONDUCTION DEFECTS; ASD7,"NKX2-5, NKX2E, CSX, CHNG5, VSD3, HLHS2",600584,5q35.1,Nerve
101,108900,22.58,Heart,ATRIAL SEPTAL DEFECT 7 WITH OR WITHOUT ATRIOVENTRICULAR CONDUCTION DEFECTS; ASD7,"NKX2-5, NKX2E, CSX, CHNG5, VSD3, HLHS2",600584,5q35.1,Heart
102,109400,64.04,skin,BASAL CELL NEVUS SYNDROME; BCNS,"PTCH1, NBCCS, BCNS, HPE7",601309,9q22.32,Skin
103,109400,64.04,skin,BASAL CELL NEVUS SYNDROME; BCNS,PTCH2,603673,1p34.1,Skin
104,109400,64.04,skin,BASAL CELL NEVUS SYNDROME; BCNS,"SUFU, SUFUXL, SUFUH, JBTS32",607035,10q24.32,Skin
105,109800,13.84,kidney,BLADDER CANCER,"FGFR3, ACH",134934,4p16.3,Kidney
106,109800,13.84,kidney,BLADDER CANCER,"KRAS, KRAS2, RASK2, NS, CFC2, RALD",190070,12p12.1,Kidney
107,109800,13.84,kidney,BLADDER CANCER,RB1,614041,13q14.2,Kidney
108,109800,13.84,kidney,BLADDER CANCER,HRAS,190020,11p15.5,Kidney
109,109800,22.04,Prostate,BLADDER CANCER,"FGFR3, ACH",134934,4p16.3,Prostate
110,109800,22.04,Prostate,BLADDER CANCER,"KRAS, KRAS2, RASK2, NS, CFC2, RALD",190070,12p12.1,Prostate
111,109800,22.04,Prostate,BLADDER CANCER,RB1,614041,13q14.2,Prostate
112,109800,22.04,Prostate,BLADDER CANCER,HRAS,190020,11p15.5,Prostate
113,109800,9.82,Lung,BLADDER CANCER,"FGFR3, ACH",134934,4p16.3,Lung
114,109800,9.82,Lung,BLADDER CANCER,"KRAS, KRAS2, RASK2, NS, CFC2, RALD",190070,12p12.1,Lung
115,109800,9.82,Lung,BLADDER CANCER,RB1,614041,13q14.2,Lung
116,109800,9.82,Lung,BLADDER CANCER,HRAS,190020,11p15.5,Lung
117,109800,11.51,lymph node,BLADDER CANCER,"FGFR3, ACH",134934,4p16.3,
118,109800,11.51,lymph node,BLADDER CANCER,"KRAS, KRAS2, RASK2, NS, CFC2, RALD",190070,12p12.1,
119,109800,11.51,lymph node,BLADDER CANCER,RB1,614041,13q14.2,
120,109800,11.51,lymph node,BLADDER CANCER,HRAS,190020,11p15.5,
121,110450,21.52,kidney,"BLOOD GROUP, COLTON SYSTEM; CO","AQP1, CHIP28, CO",107776,7p14.3,Kidney
122,110450,10.17,Monocytes,"BLOOD GROUP, COLTON SYSTEM; CO","AQP1, CHIP28, CO",107776,7p14.3,Blood
123,110450,58.32,bone marrow,"BLOOD GROUP, COLTON SYSTEM; CO","AQP1, CHIP28, CO",107776,7p14.3,Bone Marrow
124,111380,34.2,NK Cells,BLOOD GROUP--OK; OK,BSG,109480,19p13.3,Blood
125,111380,8.69,Liver,BLOOD GROUP--OK; OK,BSG,109480,19p13.3,Liver
126,111400,12.61,Monocytes,"BLOOD GROUP, P1PK SYSTEM","A4GALT, P1PK",607922,22q13.2,Blood
127,111400,12.61,Monocytes,"BLOOD GROUP, P1PK SYSTEM","B3GALT3, GLCT3, GLOB",603094,3q26.1,Blood
128,111400,46.66,kidney,"BLOOD GROUP, P1PK SYSTEM","A4GALT, P1PK",607922,22q13.2,Kidney
129,111400,46.66,kidney,"BLOOD GROUP, P1PK SYSTEM","B3GALT3, GLCT3, GLOB",603094,3q26.1,Kidney
130,111400,16.69,B cells,"BLOOD GROUP, P1PK SYSTEM","A4GALT, P1PK",607922,22q13.2,Blood
131,111400,16.69,B cells,"BLOOD GROUP, P1PK SYSTEM","B3GALT3, GLCT3, GLOB",603094,3q26.1,Blood
132,111400,21.12,Lung,"BLOOD GROUP, P1PK SYSTEM","A4GALT, P1PK",607922,22q13.2,Lung
133,111400,21.12,Lung,"BLOOD GROUP, P1PK SYSTEM","B3GALT3, GLCT3, GLOB",603094,3q26.1,Lung
134,112100,9.62,leukemia lymphoblastic,YT BLOOD GROUP ANTIGEN,"ACHE, YT",100740,7q22.1,
135,112500,10.15,cerebellum,"BRACHYDACTYLY, TYPE A1; BDA1","IHH, BDA1",600726,2q35,Brain
136,112500,11.16,Heart,"BRACHYDACTYLY, TYPE A1; BDA1","IHH, BDA1",600726,2q35,Heart
137,112500,17.01,TONGUE,"BRACHYDACTYLY, TYPE A1; BDA1","IHH, BDA1",600726,2q35,
138,112500,14.13,skin,"BRACHYDACTYLY, TYPE A1; BDA1","IHH, BDA1",600726,2q35,Skin
139,112600,16.64,TONGUE,"BRACHYDACTYLY, TYPE A2; BDA2","BMP2, BMP2A, BDA2, SSFSC",112261,20p12.3,
140,112600,16.64,TONGUE,"BRACHYDACTYLY, TYPE A2; BDA2","BMPR1B, ALK6, AMDD, BDA2, BDA1D",603248,4q22.3,
141,112600,16.64,TONGUE,"BRACHYDACTYLY, TYPE A2; BDA2","GDF5, CDMP1, SYNS2, OS5, BDA1C, SYM1B",601146,20q11.22,
142,112600,14.21,skin,"BRACHYDACTYLY, TYPE A2; BDA2","BMP2, BMP2A, BDA2, SSFSC",112261,20p12.3,Skin
143,112600,14.21,skin,"BRACHYDACTYLY, TYPE A2; BDA2","BMPR1B, ALK6, AMDD, BDA2, BDA1D",603248,4q22.3,Skin
144,112600,14.21,skin,"BRACHYDACTYLY, TYPE A2; BDA2","GDF5, CDMP1, SYNS2, OS5, BDA1C, SYM1B",601146,20q11.22,Skin
145,112600,9.93,cerebellum,"BRACHYDACTYLY, TYPE A2; BDA2","BMP2, BMP2A, BDA2, SSFSC",112261,20p12.3,Brain
146,112600,9.93,cerebellum,"BRACHYDACTYLY, TYPE A2; BDA2","BMPR1B, ALK6, AMDD, BDA2, BDA1D",603248,4q22.3,Brain
147,112600,9.93,cerebellum,"BRACHYDACTYLY, TYPE A2; BDA2","GDF5, CDMP1, SYNS2, OS5, BDA1C, SYM1B",601146,20q11.22,Brain
148,112600,11.21,Heart,"BRACHYDACTYLY, TYPE A2; BDA2","BMP2, BMP2A, BDA2, SSFSC",112261,20p12.3,Heart
149,112600,11.21,Heart,"BRACHYDACTYLY, TYPE A2; BDA2","BMPR1B, ALK6, AMDD, BDA2, BDA1D",603248,4q22.3,Heart
150,112600,11.21,Heart,"BRACHYDACTYLY, TYPE A2; BDA2","GDF5, CDMP1, SYNS2, OS5, BDA1C, SYM1B",601146,20q11.22,Heart
151,113100,17.07,TONGUE,"BRACHYDACTYLY, TYPE C; BDC","GDF5, CDMP1, SYNS2, OS5, BDA1C, SYM1B",601146,20q11.22,
152,113100,11.2,Heart,"BRACHYDACTYLY, TYPE C; BDC","GDF5, CDMP1, SYNS2, OS5, BDA1C, SYM1B",601146,20q11.22,Heart
153,113100,14.18,skin,"BRACHYDACTYLY, TYPE C; BDC","GDF5, CDMP1, SYNS2, OS5, BDA1C, SYM1B",601146,20q11.22,Skin
154,113100,10.19,cerebellum,"BRACHYDACTYLY, TYPE C; BDC","GDF5, CDMP1, SYNS2, OS5, BDA1C, SYM1B",601146,20q11.22,Brain
155,113650,11.33,skin,BRANCHIOOTORENAL SYNDROME 1; BOR1,"EYA1, BOR, BOS1, OFC1",601653,8q13.3,Skin
156,113650,51.99,kidney,BRANCHIOOTORENAL SYNDROME 1; BOR1,"EYA1, BOR, BOS1, OFC1",601653,8q13.3,Kidney
157,113650,19.79,thymus,BRANCHIOOTORENAL SYNDROME 1; BOR1,"EYA1, BOR, BOS1, OFC1",601653,8q13.3,
158,113800,90.36,skin,EPIDERMOLYTIC HYPERKERATOSIS; EHK,"KRT1, EPPK, NEPPK, EHK",139350,12q13.13,Skin
159,113800,90.36,skin,EPIDERMOLYTIC HYPERKERATOSIS; EHK,"KRT10, EHK, BCIE, BIE",148080,17q21.2,Skin
160,114290,8.71,Ovary,CAMPOMELIC DYSPLASIA,"SOX9, CMD1, SRA1",608160,17q24.3,Ovary
161,114290,55.2,testis,CAMPOMELIC DYSPLASIA,"SOX9, CMD1, SRA1",608160,17q24.3,Testis
162,114480,10.93,Ovary,BREAST CANCER,"TP53, P53, LFS1 , BCC7",191170,17p13.1,Ovary
163,114480,10.93,Ovary,BREAST CANCER,"BRIP1, BACH1, FANCJ",605882,17q23.2,Ovary
164,114480,10.93,Ovary,BREAST CANCER,"AKT1, CWS6",164730,14q32.33,Ovary
165,114480,10.93,Ovary,BREAST CANCER,"KRAS, KRAS2, RASK2, NS, CFC2, RALD",190070,12p12.1,Ovary
166,114480,10.93,Ovary,BREAST CANCER,"PIK3CA, CLOVE, MCAP, MCM, MCMTC, CWS5",171834,3q26.32,Ovary
167,114480,10.93,Ovary,BREAST CANCER,"PPM1D, WIP1, IDDGIP",605100,17q23.2,Ovary
168,114480,10.93,Ovary,BREAST CANCER,"RB1CC1, CC1, KIAA0203",606837,8q11.23,Ovary
169,114480,10.93,Ovary,BREAST CANCER,"SLC22A1L, BWSCR1A, IMPT1",602631,11p15.4,Ovary
170,114480,10.93,Ovary,BREAST CANCER,"NQO2, NMOR2",160998,6p25.2,Ovary
171,114480,10.93,Ovary,BREAST CANCER,"RAD54L, HR54, HRAD54",603615,1p34.1,Ovary
172,114480,10.93,Ovary,BREAST CANCER,"CDH1, UVO, LCAM, ECAD, BCDS1",192090,16q22.1,Ovary
173,114480,10.93,Ovary,BREAST CANCER,"BRCA2, FANCD1, BROVCA2, GLM3, PNCA2",600185,13q13.1,Ovary
174,114480,10.93,Ovary,BREAST CANCER,"CASP8, MCH5, ALPS2B",601763,2q33.1,Ovary
175,114480,10.93,Ovary,BREAST CANCER,"ATM, ATA, AT1",607585,11q22.3,Ovary
176,114480,10.93,Ovary,BREAST CANCER,BARD1,601593,2q35,Ovary
177,114480,10.93,Ovary,BREAST CANCER,"CHEK2, RAD53, CHK2, CDS1, LFS2",604373,22q12.1,Ovary
178,114480,10.93,Ovary,BREAST CANCER,HMMR,600936,5q34,Ovary
179,114480,10.93,Ovary,BREAST CANCER,"PALB2, FANCN, PNCA3",610355,16p12.2,Ovary
180,114480,10.93,Ovary,BREAST CANCER,PHB,176705,17q21.33,Ovary
181,114480,10.93,Ovary,BREAST CANCER,"RAD51A, RECA, MRMV2, FANCR",179617,15q15.1,Ovary
182,114480,10.93,Ovary,BREAST CANCER,"XRCC3, CMM6",600675,14q32.33,Ovary
183,114480,10.93,Ovary,BREAST CANCER,"ESR1, ESR, ESTRR",133430,6q25.1-q25.2,Ovary
184,114480,10.73,Thyroid,BREAST CANCER,"TP53, P53, LFS1 , BCC7",191170,17p13.1,Thyroid
185,114480,10.73,Thyroid,BREAST CANCER,"BRIP1, BACH1, FANCJ",605882,17q23.2,Thyroid
186,114480,10.73,Thyroid,BREAST CANCER,"AKT1, CWS6",164730,14q32.33,Thyroid
187,114480,10.73,Thyroid,BREAST CANCER,"KRAS, KRAS2, RASK2, NS, CFC2, RALD",190070,12p12.1,Thyroid
188,114480,10.73,Thyroid,BREAST CANCER,"PIK3CA, CLOVE, MCAP, MCM, MCMTC, CWS5",171834,3q26.32,Thyroid
189,114480,10.73,Thyroid,BREAST CANCER,"PPM1D, WIP1, IDDGIP",605100,17q23.2,Thyroid
190,114480,10.73,Thyroid,BREAST CANCER,"RB1CC1, CC1, KIAA0203",606837,8q11.23,Thyroid
191,114480,10.73,Thyroid,BREAST CANCER,"SLC22A1L, BWSCR1A, IMPT1",602631,11p15.4,Thyroid
192,114480,10.73,Thyroid,BREAST CANCER,"NQO2, NMOR2",160998,6p25.2,Thyroid
193,114480,10.73,Thyroid,BREAST CANCER,"RAD54L, HR54, HRAD54",603615,1p34.1,Thyroid
194,114480,10.73,Thyroid,BREAST CANCER,"CDH1, UVO, LCAM, ECAD, BCDS1",192090,16q22.1,Thyroid
195,114480,10.73,Thyroid,BREAST CANCER,"BRCA2, FANCD1, BROVCA2, GLM3, PNCA2",600185,13q13.1,Thyroid
196,114480,10.73,Thyroid,BREAST CANCER,"CASP8, MCH5, ALPS2B",601763,2q33.1,Thyroid
197,114480,10.73,Thyroid,BREAST CANCER,"ATM, ATA, AT1",607585,11q22.3,Thyroid
198,114480,10.73,Thyroid,BREAST CANCER,BARD1,601593,2q35,Thyroid
199,114480,10.73,Thyroid,BREAST CANCER,"CHEK2, RAD53, CHK2, CDS1, LFS2",604373,22q12.1,Thyroid
200,114480,10.73,Thyroid,BREAST CANCER,HMMR,600936,5q34,Thyroid
